ts,iso_time,ph,o2,temp
1759807866646,2025-10-07T11:31:06.646000,7.1,7.67,26.4
1759807868389,2025-10-07T11:31:08.389000,7.1,7.67,26.4
1759807870076,2025-10-07T11:31:10.076000,7.1,7.67,26.4
1759807876567,2025-10-07T11:31:16.567000,7.1,7.66,26.4
1759807878385,2025-10-07T11:31:18.385000,7.1,7.66,26.4
1759807880050,2025-10-07T11:31:20.050000,7.1,7.66,26.4
1759807886557,2025-10-07T11:31:26.557000,7.1,7.64,26.4
1759807888381,2025-10-07T11:31:28.381000,7.1,7.64,26.4
1759807890075,2025-10-07T11:31:30.075000,7.1,7.64,26.4
1759807896557,2025-10-07T11:31:36.557000,7.1,7.66,26.4
1759807898369,2025-10-07T11:31:38.369000,7.1,7.66,26.4
1759807900063,2025-10-07T11:31:40.063000,7.1,7.66,26.4
1759807900087,2025-10-07T11:31:40.087000,7.1,7.66,26.4
1759807900087,2025-10-07T11:31:40.087000,7.1,7.66,26.4
1759807906588,2025-10-07T11:31:46.588000,7.1,7.67,26.4
1759807908380,2025-10-07T11:31:48.380000,7.1,7.67,26.4
1759807910062,2025-10-07T11:31:50.062000,7.1,7.67,26.4
1759807916618,2025-10-07T11:31:56.618000,7.1,7.68,26.4
1759807918419,2025-10-07T11:31:58.419000,7.1,7.68,26.4
1759807920068,2025-10-07T11:32:00.068000,7.1,7.68,26.4
1759807926545,2025-10-07T11:32:06.545000,7.1,7.67,26.4
1759807928395,2025-10-07T11:32:08.395000,7.1,7.67,26.4
1759807930091,2025-10-07T11:32:10.091000,7.1,7.67,26.4
1759807936546,2025-10-07T11:32:16.546000,7.1,7.67,26.4
1759807938386,2025-10-07T11:32:18.386000,7.1,7.67,26.4
1759807940067,2025-10-07T11:32:20.067000,7.1,7.67,26.4
1759808430063,2025-10-07T11:40:30.063000,7.1,7.65,26.4
1759808560094,2025-10-07T11:42:40.094000,7.1,7.65,26.4
1759808560133,2025-10-07T11:42:40.133000,7.1,7.65,26.4
1759808560133,2025-10-07T11:42:40.133000,7.1,7.65,26.4
1759808566656,2025-10-07T11:42:46.656000,7.1,7.65,26.4
1759808568502,2025-10-07T11:42:48.502000,7.1,7.65,26.4
1759808570069,2025-10-07T11:42:50.069000,7.1,7.65,26.4
1759808576552,2025-10-07T11:42:56.552000,7.1,7.66,26.4
1759808578389,2025-10-07T11:42:58.389000,7.1,7.66,26.4
1759808580090,2025-10-07T11:43:00.090000,7.1,7.66,26.4
1759808586580,2025-10-07T11:43:06.580000,7.1,7.65,26.4
1759808588392,2025-10-07T11:43:08.392000,7.1,7.65,26.4
1759808590065,2025-10-07T11:43:10.065000,7.1,7.65,26.4
1759808596556,2025-10-07T11:43:16.556000,7.1,7.63,26.4
1759808598365,2025-10-07T11:43:18.365000,7.1,7.63,26.4
1759808600068,2025-10-07T11:43:20.068000,7.1,7.63,26.4
1759808606592,2025-10-07T11:43:26.592000,7.1,7.62,26.4
1759808608391,2025-10-07T11:43:28.391000,7.1,7.62,26.4
1759808610075,2025-10-07T11:43:30.075000,7.1,7.62,26.4
1759808616627,2025-10-07T11:43:36.627000,7.1,7.64,26.4
1759808618471,2025-10-07T11:43:38.471000,7.1,7.64,26.4
1759808620089,2025-10-07T11:43:40.089000,7.1,7.64,26.4
1759808620096,2025-10-07T11:43:40.096000,7.1,7.64,26.4
1759808620098,2025-10-07T11:43:40.098000,7.1,7.64,26.4
1759808626663,2025-10-07T11:43:46.663000,7.1,7.64,26.4
1759808628374,2025-10-07T11:43:48.374000,7.1,7.64,26.4
1759808630074,2025-10-07T11:43:50.074000,7.1,7.64,26.4
1759808636537,2025-10-07T11:43:56.537000,7.1,7.66,26.4
1759808638377,2025-10-07T11:43:58.377000,7.1,7.66,26.4
1759808640076,2025-10-07T11:44:00.076000,7.1,7.66,26.4
1759808646559,2025-10-07T11:44:06.559000,7.1,7.65,26.4
1759808648385,2025-10-07T11:44:08.385000,7.1,7.65,26.4
1759808650069,2025-10-07T11:44:10.069000,7.1,7.65,26.4
1759808656563,2025-10-07T11:44:16.563000,7.1,7.64,26.4
1759808658381,2025-10-07T11:44:18.381000,7.1,7.64,26.4
1759808660074,2025-10-07T11:44:20.074000,7.1,7.64,26.4
1759808666599,2025-10-07T11:44:26.599000,7.1,7.61,26.4
1759808668442,2025-10-07T11:44:28.442000,7.1,7.61,26.4
1759808670070,2025-10-07T11:44:30.070000,7.1,7.61,26.4
1759808676644,2025-10-07T11:44:36.644000,7.1,7.63,26.4
1759808678379,2025-10-07T11:44:38.379000,7.1,7.63,26.4
1759808680065,2025-10-07T11:44:40.065000,7.1,7.63,26.4
1759808680109,2025-10-07T11:44:40.109000,7.1,7.63,26.4
1759808680110,2025-10-07T11:44:40.110000,7.1,7.63,26.4
1759808686671,2025-10-07T11:44:46.671000,7.1,7.65,26.4
1759808688394,2025-10-07T11:44:48.394000,7.1,7.65,26.4
1759808690080,2025-10-07T11:44:50.080000,7.1,7.65,26.4
1759808696554,2025-10-07T11:44:56.554000,7.1,7.65,26.4
1759808698365,2025-10-07T11:44:58.365000,7.1,7.65,26.4
1759808700081,2025-10-07T11:45:00.081000,7.1,7.65,26.4
1759808706555,2025-10-07T11:45:06.555000,7.1,7.65,26.4
1759808708383,2025-10-07T11:45:08.383000,7.1,7.65,26.4
1759808710068,2025-10-07T11:45:10.068000,7.1,7.65,26.4
1759808716585,2025-10-07T11:45:16.585000,7.1,7.65,26.4
1759808718400,2025-10-07T11:45:18.400000,7.1,7.65,26.4
1759808720050,2025-10-07T11:45:20.050000,7.1,7.65,26.4
1759808726604,2025-10-07T11:45:26.604000,7.1,7.64,26.4
1759808728402,2025-10-07T11:45:28.402000,7.1,7.64,26.4
1759808730077,2025-10-07T11:45:30.077000,7.1,7.64,26.4
1759808736640,2025-10-07T11:45:36.640000,7.1,7.63,26.4
1759808738390,2025-10-07T11:45:38.390000,7.1,7.63,26.4
1759808740070,2025-10-07T11:45:40.070000,7.1,7.63,26.4
1759808740105,2025-10-07T11:45:40.105000,7.1,7.63,26.4
1759808740105,2025-10-07T11:45:40.105000,7.1,7.63,26.4
1759808746676,2025-10-07T11:45:46.676000,7.1,7.65,26.4
1759808748377,2025-10-07T11:45:48.377000,7.1,7.65,26.4
1759808750062,2025-10-07T11:45:50.062000,7.1,7.65,26.4
1759808756572,2025-10-07T11:45:56.572000,7.1,7.65,26.4
1759808758386,2025-10-07T11:45:58.386000,7.1,7.65,26.4
1759808760078,2025-10-07T11:46:00.078000,7.1,7.65,26.4
1759808766568,2025-10-07T11:46:06.568000,7.1,7.66,26.4
1759808768395,2025-10-07T11:46:08.395000,7.1,7.66,26.4
1759808770082,2025-10-07T11:46:10.082000,7.1,7.66,26.4
1759808776576,2025-10-07T11:46:16.576000,7.1,7.65,26.4
1759808778411,2025-10-07T11:46:18.411000,7.1,7.65,26.4
1759808780076,2025-10-07T11:46:20.076000,7.1,7.65,26.4
1759808786612,2025-10-07T11:46:26.612000,7.1,7.64,26.4
1759808788389,2025-10-07T11:46:28.389000,7.1,7.64,26.4
1759808790074,2025-10-07T11:46:30.074000,7.1,7.64,26.4
1759808796648,2025-10-07T11:46:36.648000,7.1,7.63,26.4
1759808798374,2025-10-07T11:46:38.374000,7.1,7.63,26.4
